channel_ratio,incident_rate,length,segment size,fit_ref,flux_correction,smoothing,smoothing length,delta clean,CS,PDS 1,PDStot
0.8677846037678839,198.2020708891509,1024.0,512.0,pds,False,gauss,1536,-0.002210996341461915,0.008648634686989285,-0.01352420679543032,0.006333032847488979
0.8189595467445543,496.0839102629718,1024.0,512.0,pds,False,gauss,1536,-0.22844978882075292,-0.19527406249776294,0.46967961423477667,-0.14846174314910848
1.054980492409755,528.1049196647208,1024.0,512.0,pds,False,gauss,1536,0.00667612117016709,0.07504033286182268,0.142785664540456,0.068773029700412
0.897696233010972,353.4347904726867,1024.0,512.0,pds,False,gauss,1536,-0.007919978324499649,0.07037113867729777,0.007963890564925245,0.07265345436375241
0.928585014046751,837.1993058925298,1024.0,512.0,pds,False,gauss,1536,0.021484829280840483,0.07602722896233755,0.021342476697894762,0.06631188783095898
0.884262491482195,869.2462494938778,1024.0,512.0,pds,False,gauss,1536,0.026312331616834928,0.07141362744368397,-0.032177536102480114,0.05366889973080297
1.033388872674104,548.917749074516,1024.0,512.0,pds,False,gauss,1536,-0.021752898826719026,-0.009017879264434195,0.03344811172942436,-0.004296874411560763
0.8323877758105311,708.6949937430578,1024.0,512.0,pds,False,gauss,1536,0.03640520132858959,0.0392050586592876,-0.023397131787994605,0.03912020439654267
0.9154028794863596,796.6921386334927,1024.0,512.0,pds,False,gauss,1536,-0.017926664190424033,0.03613960917688231,0.04142779282253285,0.03462798917818913
1.0507659187826934,468.56214870356854,1024.0,512.0,pds,False,gauss,1536,0.0577321509108066,0.06727312394799596,0.02444884001038383,0.08181736196401229
0.6993700776085494,100.0,1024.223491022464,512.0,pds,False,gauss,1536,-0.036703260147882576,0.015801052358184742,-0.06748732277763322,0.04664608956671521
0.5009824987336264,244.5505109329555,1024.0,512.0,pds,False,gauss,1536,0.004038963404576236,0.015128689059885032,-0.12220878300180119,0.020616788474053162
1.2373678860301252,693.8710434149986,1024.0,512.0,pds,False,gauss,1536,-0.0042897744639004065,0.039468537193306084,0.10611718386035976,0.03923185785933773
0.6176953987769283,857.8999446478488,2048.0,64.0,pds,False,gauss,192,0.0015902859415578563,0.029219769288964522,-0.0716874008741535,0.03505502274634361
0.7241366625284721,397.173794962889,4096.0,128.0,pds,False,gauss,384,0.009088009092830357,0.03477818155924077,-0.05414567294709653,0.03566207900259616
0.7978198630926487,929.7259382639775,2048.0,64.0,pds,False,gauss,192,-0.02282487937700567,0.020254509364715814,-0.026048813178029973,0.022023241622856026
1.4662254120058447,645.2661790244194,4096.0,64.0,pds,False,gauss,192,0.006754111772804399,0.038643494561317805,0.16969531810341293,0.038734472074655885
1.0979916262817135,480.21448506078707,4096.0,256.0,pds,False,gauss,768,-0.0051671142767093095,0.031160195021245122,0.06610732248131118,0.03334460555281708
0.9652814851123169,722.8356857681304,1024.0,256.0,pds,False,gauss,768,0.010857988637482018,0.03763802563759566,0.021017808695390647,0.03859718223133085
1.217158924236191,791.4282793765817,1024.0,128.0,pds,False,gauss,384,0.013148688925404352,0.050674490209664844,0.11102043838899206,0.05208748467535974
0.6111524116265235,158.35425453962458,1024.0,256.0,pds,False,gauss,768,-0.001358728176826409,0.013812646652237089,-0.09283652544840329,0.010447256506655645
1.220548928384623,345.58773852595834,1024.0,512.0,pds,False,gauss,1536,0.003920324546452978,0.06576684763790067,0.13638836090234197,0.06511585947943958
0.7311592355677667,588.6979615023736,2048.0,128.0,pds,False,gauss,384,-0.0027258281976354154,0.04022241283311585,-0.03225138855666109,0.04506848446126275
0.6885755812408951,163.59055209086546,1024.0,256.0,pds,False,gauss,768,-0.010307404833361985,0.024053758752496955,-0.038236452494974156,0.024872480484485898
1.1354779764823544,947.5217448362237,4096.0,512.0,pds,False,gauss,1536,-0.006646733105701569,0.035789708830064014,0.07780630775618848,0.03632583994693816
0.5932693264406717,161.96559718182397,4096.0,64.0,pds,False,gauss,192,0.003993434265451561,0.011116759636400577,-0.11012278606771751,0.006856593015388551
1.1268387208546264,703.8357412284671,1024.0,64.0,pds,False,gauss,192,0.02345418987596971,0.08833936975780177,0.13677744106810005,0.09451253065637463
0.9134308532513757,983.466830214902,1024.0,256.0,pds,False,gauss,768,-0.03808439807646303,-0.001116416581739129,0.009621138447197721,0.0068426281361106895
1.1122286573498368,845.4173611039975,2048.0,64.0,pds,False,gauss,192,0.023530333564979133,0.05898262079442016,0.07103911881630426,0.053072730233681226
1.1646482544685166,677.8837449209476,4096.0,128.0,pds,False,gauss,384,0.007543794125436189,0.046668286846347086,0.08400796851226676,0.04341685246506096
1.3164717969516953,899.3776657664393,4096.0,256.0,pds,False,gauss,768,-0.007697000923218761,0.027695756934938226,0.1149731673617835,0.027574928276242708
0.6374751420623695,627.8183855950027,1024.0,128.0,pds,False,gauss,384,0.007115384652104378,0.021107646872009864,-0.07992795467981781,0.024532143509883343
0.6409229289600051,721.4900079208168,1024.0,128.0,pds,False,gauss,384,0.027860799644840888,0.04179921435221966,-0.07193376757110637,0.03828936672072857
0.7902607302498104,577.8258066849747,1024.0,512.0,pds,False,gauss,1536,0.006787761940682775,0.05844756103576208,-0.0035608458430474127,0.058617866571144144
0.7810202152098201,668.3042698216582,2048.0,256.0,pds,False,gauss,768,-0.006105968569770506,0.03668278698639354,-0.02097055516619208,0.03805160185894575
0.8040493039849858,638.5542279889221,1024.0,64.0,pds,False,gauss,192,0.011809413107763324,0.07549940272017171,0.027112561822590205,0.07987679529304155
